question_id,question,ground_truth_answer,category,question_validity,model_name,model_answer,confidence
1,What is the capital of Canada?,Ottawa,easy,valid,mistral,Ottawa is the capital of Canada.,0.860374
2,What is the capital of France?,Paris,easy,valid,mistral,Paris is the capital of France.,0.860743
3,What is the capital of Australia?,Canberra,easy,valid,mistral,Canberra is the capital of Australia. It is located in the Australian Capital Territory. It became the capital in 1927.,0.815233
4,What is the capital of Brazil?,Brasília,easy,valid,mistral,The capital of Brazil is Brasilia.,0.877777
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,mistral,"Harper Lee wrote ""To Kill a Mockingbird"".",0.905472
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,mistral,"F. Scott Fitzgerald wrote ""The Great Gatsby"".",0.896006
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,mistral,The Mona Lisa was painted by Leonardo da Vinci.,0.893646
8,Who discovered penicillin?,Alexander Fleming,easy,valid,mistral,Penicillin was discovered by Alexander Fleming in 1928.,0.897133
9,What is the chemical symbol for gold?,Au,easy,valid,mistral,The chemical symbol for gold is Au.,0.847602
10,What is the chemical symbol for oxygen?,O,easy,valid,mistral,O,0.471191
11,What is the largest planet in the solar system?,Jupiter,easy,valid,mistral,"Jupiter is the largest planet in the solar system. It is the fifth planet from the sun and is known for its great red spot, a storm that has been raging on the planet for at least 300 years. J",0.865850
12,What is the smallest planet in the solar system?,Mercury,easy,valid,mistral,Mercury is the smallest planet in the solar system.,0.891235
13,What is the boiling point of water in Celsius?,100,easy,valid,mistral,The boiling point of water is 100°C.,0.904557
14,What is the freezing point of water in Celsius?,0,easy,valid,mistral,The freezing point of water is 0°C.,0.886418
15,What is the square root of 81?,9,easy,valid,mistral,The square root of 81 is 9.,0.966309
16,What is the square root of 225?,15,easy,valid,mistral,The square root of 225 is 15.,0.868312
17,What year did World War I begin?,1914,easy,valid,mistral,World War I began in the year 1914.,0.959298
18,What year did World War II end?,1945,easy,valid,mistral,World War II ended in the year 1945.,0.901408
19,What is the currency of Japan?,yen,easy,valid,mistral,The currency of Japan is the Japanese Yen (JPY).,0.849714
20,What is the currency of the United Kingdom?,pound sterling,easy,valid,mistral,The currency of the United Kingdom is the British Pound (GBP).,0.857788
21,Who was the first president of the United States?,George Washington,easy,valid,mistral,George Washington was the first president of the United States. He served as president from 1789 to 1797.,0.858281
22,Who was the 16th president of the United States?,Abraham Lincoln,easy,valid,mistral,Abraham Lincoln was the 16th president of the United States. He served as president from 1861 to 1865. He is best known for leading the country through its Civil War and for the Emanc,0.848694
23,What is the tallest mountain in the world?,Mount Everest,easy,valid,mistral,"The tallest mountain in the world is Mount Everest, which is located in the Himalayas on the border of Nepal and Tibet. Its peak is 8,848.86 meters (29,0",0.872635
24,What is the longest river in the world?,Nile,easy,valid,mistral,"The longest river in the world is the Nile River. It is approximately 4,135 miles long. It flows through eleven countries in northeastern Africa.",0.805929
25,What gas do humans breathe in?,oxygen,easy,valid,mistral,Oxygen.,0.697876
26,What gas do plants absorb?,carbon dioxide,easy,valid,mistral,Carbon Dioxide (CO_{2}),0.780273
27,What is the speed of light in km/s?,299792,easy,valid,mistral,"The speed of light is approximately 299,792 km/s.",0.902190
28,What is the formula for water?,H2O,easy,valid,mistral,The formula for water is H2O. It means that water is composed of two hydrogen atoms (H) and one oxygen atom (O).,0.843537
29,Who developed the theory of relativity?,Albert Einstein,easy,valid,mistral,Albert Einstein developed the theory of relativity.,0.868149
30,Who developed the theory of evolution?,Charles Darwin,easy,valid,mistral,Charles Darwin developed the theory of evolution.,0.853132
31,What is the largest ocean on Earth?,Pacific Ocean,easy,valid,mistral,"The Pacific Ocean is the largest ocean on Earth. It covers an area of about 168.7 million square kilometers, which is about half of the total water surface of the Earth. It is also the deepest ocean,",0.798024
32,What is the smallest ocean on Earth?,Arctic Ocean,easy,valid,mistral,The smallest ocean on Earth is the Arctic Ocean. It is also the smallest of the five oceans in terms of surface area. It is located in the northernmost part of the Earth and is surrounded by the Eurasian and,0.757446
33,What is the capital of Germany?,Berlin,easy,valid,mistral,Berlin is the capital of Germany.,0.883504
34,What is the capital of Italy?,Rome,easy,valid,mistral,Rome is the capital of Italy.,0.884791
35,What is the capital of Spain?,Madrid,easy,valid,mistral,Madrid is the capital of Spain.,0.855418
36,What is the capital of Mexico?,Mexico City,easy,valid,mistral,The capital of Mexico is Mexico City.,0.884674
37,Who invented the telephone?,Alexander Graham Bell,easy,valid,mistral,Alexander Graham Bell invented the telephone.,0.854525
38,Who invented the light bulb?,Thomas Edison,easy,valid,mistral,The light bulb was invented by Thomas Edison in 1879.,0.869637
39,What is the hardest natural substance?,diamond,easy,valid,mistral,The hardest natural substance is diamond.,0.827916
40,What is the softest mineral?,talc,easy,valid,mistral,Talc is the softest mineral. It has a hardness of 1 on the Mohs scale.,0.855978
41,What is the main language spoken in Brazil?,Portuguese,easy,valid,mistral,The main language spoken in Brazil is Portuguese.,0.884532
42,What is the main language spoken in Japan?,Japanese,easy,valid,mistral,The main language spoken in Japan is Japanese.,0.894023
43,What is the capital of South Korea?,Seoul,easy,valid,mistral,The capital of South Korea is Seoul.,0.876363
44,What is the capital of India?,New Delhi,easy,valid,mistral,New Delhi is the capital of India.,0.904831
45,What is the capital of China?,Beijing,easy,valid,mistral,The capital of China is Beijing.,0.906799
46,What is the capital of Russia?,Moscow,easy,valid,mistral,The capital of Russia is Moscow.,0.897842
47,What is the capital of Egypt?,Cairo,easy,valid,mistral,The capital of Egypt is Cairo.,0.903661
