question_id,question,ground_truth_answer,category,question_validity,model_name,model_answer,confidence
1,What is the capital of Canada?,Ottawa,easy,valid,phi3,Ottawa.,0.785600
2,What is the capital of France?,Paris,easy,valid,phi3,Paris.,0.783529
3,What is the capital of Australia?,Canberra,easy,valid,phi3,Canberra.,0.781364
4,What is the capital of Brazil?,Brasília,easy,valid,phi3,The capital of Brazil is Brasília.,0.808536
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,phi3,"Harper Lee wrote ""To Kill a Mockingbird.""",0.752752
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,phi3,F. Scott Fitzgerald.,0.752216
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,phi3,Leonardo da Vinci.,0.816055
8,Who discovered penicillin?,Alexander Fleming,easy,valid,phi3,Alexander Fleming discovered penicillin in 1928.,0.803310
9,What is the chemical symbol for gold?,Au,easy,valid,phi3,The chemical symbol for gold is Au.,0.812724
10,What is the chemical symbol for oxygen?,O,easy,valid,phi3,The chemical symbol for oxygen is O.,0.863578
11,What is the largest planet in the solar system?,Jupiter,easy,valid,phi3,Jupiter is the largest planet in the solar system.,0.857463
12,What is the smallest planet in the solar system?,Mercury,easy,valid,phi3,Mercury is the smallest planet in the solar system.,0.843507
13,What is the boiling point of water in Celsius?,100,easy,valid,phi3,The boiling point of water in Celsius is 100 degrees.,0.855726
14,What is the freezing point of water in Celsius?,0,easy,valid,phi3,The freezing point of water in Celsius is 0 degrees.,0.847137
15,What is the square root of 81?,9,easy,valid,phi3,The square root of 81 is 9.,0.886008
16,What is the square root of 225?,15,easy,valid,phi3,The square root of 225 is 15.,0.874865
17,What year did World War I begin?,1914,easy,valid,phi3,World War I began in 1914.,0.842048
18,What year did World War II end?,1945,easy,valid,phi3,World War II ended in 1945.,0.853645
19,What is the currency of Japan?,yen,easy,valid,phi3,The currency of Japan is the Japanese Yen (JPY).,0.818673
20,What is the currency of the United Kingdom?,pound sterling,easy,valid,phi3,"The currency of the United Kingdom is the Pound Sterling, often simply referred to as the Pound.",0.658856
21,Who was the first president of the United States?,George Washington,easy,valid,phi3,George Washington.,0.833076
22,Who was the 16th president of the United States?,Abraham Lincoln,easy,valid,phi3,Abraham Lincoln.,0.842437
23,What is the tallest mountain in the world?,Mount Everest,easy,valid,phi3,Mount Everest.,0.830945
24,What is the longest river in the world?,Nile,easy,valid,phi3,The Nile River is the longest river in the world.,0.763233
25,What gas do humans breathe in?,oxygen,easy,valid,phi3,Oxygen.,0.768530
26,What gas do plants absorb?,carbon dioxide,easy,valid,phi3,Plants absorb carbon dioxide.,0.814858
27,What is the speed of light in km/s?,299792,easy,valid,phi3,"The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s).",0.855599
28,What is the formula for water?,H2O,easy,valid,phi3,"The chemical formula for water is H2O, which means it consists of two hydrogen atoms bonded to one oxygen atom.",0.816576
29,Who developed the theory of relativity?,Albert Einstein,easy,valid,phi3,Albert Einstein developed the theory of relativity.,0.799605
30,Who developed the theory of evolution?,Charles Darwin,easy,valid,phi3,Charles Darwin.,0.787006
