question_id,category,question_validity,question,ground_truth_answer,needs_revision,notes
1,easy,valid,What is the capital of Canada?,Ottawa,0,
2,easy,valid,What is the capital of France?,Paris,0,
3,easy,valid,What is the capital of Australia?,Canberra,0,
4,easy,valid,What is the capital of Brazil?,Brasília,0,
5,easy,valid,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,0,
6,easy,valid,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,0,
7,easy,valid,Who painted the Mona Lisa?,Leonardo da Vinci,0,
8,easy,valid,Who discovered penicillin?,Alexander Fleming,0,
9,easy,valid,What is the chemical symbol for gold?,Au,0,
10,easy,valid,What is the chemical symbol for oxygen?,O,0,
11,easy,valid,What is the largest planet in the solar system?,Jupiter,0,
12,easy,valid,What is the smallest planet in the solar system?,Mercury,0,
13,easy,valid,What is the boiling point of water in Celsius?,100,0,
14,easy,valid,What is the freezing point of water in Celsius?,0,0,
15,easy,valid,What is the square root of 81?,9,0,
16,easy,valid,What is the square root of 225?,15,0,
17,easy,valid,What year did World War I begin?,1914,0,
18,easy,valid,What year did World War II end?,1945,0,
19,easy,valid,What is the currency of Japan?,yen,0,
20,easy,valid,What is the currency of the United Kingdom?,pound sterling,0,
21,easy,valid,Who was the first president of the United States?,George Washington,0,
22,easy,valid,Who was the 16th president of the United States?,Abraham Lincoln,0,
23,easy,valid,What is the tallest mountain in the world?,Mount Everest,0,
24,easy,valid,What is the longest river in the world?,Nile,0,
25,easy,valid,What gas do humans breathe in?,oxygen,0,
26,easy,valid,What gas do plants absorb?,carbon dioxide,0,
27,easy,valid,What is the speed of light in km/s?,299792,0,
28,easy,valid,What is the formula for water?,H2O,0,
29,easy,valid,Who developed the theory of relativity?,Albert Einstein,0,
30,easy,valid,Who developed the theory of evolution?,Charles Darwin,0,
31,easy,valid,What is the largest ocean on Earth?,Pacific Ocean,0,
32,easy,valid,What is the smallest ocean on Earth?,Arctic Ocean,0,
33,easy,valid,What is the capital of Germany?,Berlin,0,
34,easy,valid,What is the capital of Italy?,Rome,0,
35,easy,valid,What is the capital of Spain?,Madrid,0,
36,easy,valid,What is the capital of Mexico?,Mexico City,0,
37,easy,valid,Who invented the telephone?,Alexander Graham Bell,0,
38,easy,valid,Who invented the light bulb?,Thomas Edison,0,
39,easy,valid,What is the hardest natural substance?,diamond,0,
40,easy,valid,What is the softest mineral?,talc,0,
41,easy,valid,What is the main language spoken in Brazil?,Portuguese,0,
42,easy,valid,What is the main language spoken in Japan?,Japanese,0,
43,easy,valid,What is the capital of South Korea?,Seoul,0,
44,easy,valid,What is the capital of India?,New Delhi,0,
45,easy,valid,What is the capital of China?,Beijing,0,
46,easy,valid,What is the capital of Russia?,Moscow,0,
47,easy,valid,What is the capital of Egypt?,Cairo,0,
48,easy,valid,What is the capital of Turkey?,Ankara,0,
49,easy,valid,What is the capital of Thailand?,Bangkok,0,
50,easy,valid,What is the capital of Vietnam?,Hanoi,0,
51,easy,valid,What is the capital of Indonesia?,Jakarta,0,
52,easy,valid,What is the capital of Nigeria?,Abuja,0,
53,easy,valid,What is the capital of Kenya?,Nairobi,0,
54,easy,valid,What is the capital of Argentina?,Buenos Aires,0,
55,easy,valid,What is the capital of Chile?,Santiago,0,
56,easy,valid,What is the capital of Peru?,Lima,0,
57,easy,valid,What is the capital of Sweden?,Stockholm,0,
58,easy,valid,What is the capital of Norway?,Oslo,0,
59,easy,valid,What is the capital of Denmark?,Copenhagen,0,
60,hard,valid,Who was the successor of Mansa Musa?,Maghan I,0,
61,hard,valid,What is the deepest point in the Mariana Trench called?,Challenger Deep,0,
62,hard,valid,Who proposed the heliocentric model before Galileo?,Nicolaus Copernicus,0,
63,hard,valid,What is the rarest element in Earth’s crust?,astatine,1,"Ambiguous in practice; 'astatine' is the usual quiz-style answer, but francium is sometimes discussed because both are extremely rare."
64,hard,valid,"Who composed ""The Rite of Spring""?",Igor Stravinsky,0,
65,hard,valid,"Who wrote ""Being and Nothingness""?",Jean-Paul Sartre,0,
66,hard,valid,What is the smallest bone in the human body?,stapes,0,
67,hard,valid,Who discovered pulsars?,Jocelyn Bell Burnell,0,
68,hard,valid,What is the longest river in Asia?,Yangtze,0,
69,hard,valid,Who invented the Jacquard loom?,Joseph Marie Jacquard,0,
70,hard,valid,What is the capital of Bhutan?,Thimphu,0,
71,hard,valid,What is the capital of Mongolia?,Ulaanbaatar,0,
72,hard,valid,Who discovered radioactivity?,Henri Becquerel,0,
73,hard,valid,What is the name of the first artificial satellite?,Sputnik 1,0,
74,hard,valid,Who invented the printing press?,Johannes Gutenberg,0,
75,hard,valid,Who discovered the neutron?,James Chadwick,0,
76,hard,valid,What is the longest bone in the human body?,femur,0,
77,hard,valid,Who developed calculus independently alongside Newton?,Gottfried Wilhelm Leibniz,0,
78,hard,valid,What is the term for animals that eat both plants and animals?,omnivore,0,
79,hard,valid,What is the name of the first programmable computer?,Z3,1,Ambiguous historical phrasing; 'Z3' is a common answer for first programmable digital computer.
80,hard,valid,Who discovered DNA structure?,James Watson and Francis Crick,1,"Simplified benchmark answer; Watson and Crick are standard, though Rosalind Franklin's contribution was crucial."
81,hard,valid,What is the largest desert in Asia?,Gobi Desert,0,
82,hard,valid,What is the most abundant gas in Earth's atmosphere?,nitrogen,0,
83,hard,valid,Who invented the steam engine?,James Watt,1,"Ambiguous; James Watt improved the steam engine, while Thomas Newcomen built an earlier practical version."
84,hard,valid,What is the name of the largest moon of Saturn?,Titan,0,
85,hard,valid,Who discovered Pluto?,Clyde Tombaugh,0,
86,hard,valid,What is the rarest blood type?,AB negative,0,
87,hard,valid,Who invented the World Wide Web?,Tim Berners-Lee,0,
