question_id,question,ground_truth_answer,category,question_validity,model_name,model_answer,confidence
1,What is the capital of Canada?,Ottawa,easy,valid,tinyllama,The capital of Canada is Ottawa.,0.907248
2,What is the capital of France?,Paris,easy,valid,tinyllama,The capital of France is Paris.,0.900482
3,What is the capital of Australia?,Canberra,easy,valid,tinyllama,The capital of Australia is Canberra.,0.917112
4,What is the capital of Brazil?,Brasília,easy,valid,tinyllama,The capital of Brazil is Brasília.,0.852804
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,tinyllama,"""To Kill a Mockingbird"" was written by Harper Lee.",0.880478
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,tinyllama,"F. Scott Fitzgerald wrote ""The Great Gatsby"".",0.856013
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,tinyllama,"The Mona Lisa is a painting by the Italian artist Leonardo da Vinci. It was painted in the late 15th century and is now housed in the Louvre Museum in Paris, France.",0.750507
8,Who discovered penicillin?,Alexander Fleming,easy,valid,tinyllama,Alexander Fleming discovered penicillin in 1928 while studying a mold that he found growing on a petri dish. He was surprised to find that the mold was producing a substance that was killing,0.643028
9,What is the chemical symbol for gold?,Au,easy,valid,tinyllama,The chemical symbol for gold is Au.,0.888144
10,What is the chemical symbol for oxygen?,O,easy,valid,tinyllama,The chemical symbol for oxygen is O.,0.917132
11,What is the largest planet in the solar system?,Jupiter,easy,valid,tinyllama,The largest planet in the solar system is Jupiter.,0.849050
12,What is the smallest planet in the solar system?,Mercury,easy,valid,tinyllama,The smallest planet in the solar system is Pluto.,0.841437
13,What is the boiling point of water in Celsius?,100,easy,valid,tinyllama,The boiling point of water in Celsius is 100 degrees Celsius.,0.883911
14,What is the freezing point of water in Celsius?,0,easy,valid,tinyllama,The freezing point of water in Celsius is 0°C (32°F).,0.863473
15,What is the square root of 81?,9,easy,valid,tinyllama,The square root of 81 is 25.,0.778336
16,What is the square root of 225?,15,easy,valid,tinyllama,The square root of 225 is 11.,0.796049
17,What year did World War I begin?,1914,easy,valid,tinyllama,"World War I began on August 4, 1914, when Germany declared war on Austria-Hungary.",0.820686
18,What year did World War II end?,1945,easy,valid,tinyllama,"World War II ended on September 2, 1945, with the signing of the Treaty of Versailles in Paris.",0.797161
19,What is the currency of Japan?,yen,easy,valid,tinyllama,The currency of Japan is the yen.,0.817373
20,What is the currency of the United Kingdom?,pound sterling,easy,valid,tinyllama,The currency of the United Kingdom is the pound sterling (GBP).,0.874012
21,Who was the first president of the United States?,George Washington,easy,valid,tinyllama,George Washington was the first president of the United States.,0.832918
22,Who was the 16th president of the United States?,Abraham Lincoln,easy,valid,tinyllama,The 16th president of the United States was James Buchanan.,0.814132
23,What is the tallest mountain in the world?,Mount Everest,easy,valid,tinyllama,"Mount Everest, located in the Himalayas, is the tallest mountain in the world.",0.825043
24,What is the longest river in the world?,Nile,easy,valid,tinyllama,"The longest river in the world is the Amazon River, which flows for 4,227 miles (6,800 km) from its source in the Andes Mountains in South America to the Atlantic Ocean in Brazil.",0.731374
25,What gas do humans breathe in?,oxygen,easy,valid,tinyllama,"Humans breathe in oxygen, which is a gas.",0.727573
26,What gas do plants absorb?,carbon dioxide,easy,valid,tinyllama,"Plants absorb carbon dioxide from the atmosphere through their roots and use it to make glucose, which is the primary source of energy for their growth and development.",0.639959
27,What is the speed of light in km/s?,299792,easy,valid,tinyllama,"The speed of light in kilometers per second is 299,792,458 meters per second.",0.876397
28,What is the formula for water?,H2O,easy,valid,tinyllama,The formula for water is H2O.,0.897330
29,Who developed the theory of relativity?,Albert Einstein,easy,valid,tinyllama,Albert Einstein developed the theory of relativity.,0.776548
30,Who developed the theory of evolution?,Charles Darwin,easy,valid,tinyllama,"Charles Darwin, an English naturalist, developed the theory of evolution.",0.738918
31,What is the largest ocean on Earth?,Pacific Ocean,easy,valid,tinyllama,The largest ocean on Earth is the Pacific Ocean.,0.817013
32,What is the smallest ocean on Earth?,Arctic Ocean,easy,valid,tinyllama,"The smallest ocean on Earth is the Cayman Trench, which is located in the Caribbean Sea. It is approximately 1,000 miles (1,609 km) long and 1,00",0.656743
33,What is the capital of Germany?,Berlin,easy,valid,tinyllama,The capital of Germany is Berlin.,0.930151
34,What is the capital of Italy?,Rome,easy,valid,tinyllama,The capital of Italy is Rome.,0.893724
35,What is the capital of Spain?,Madrid,easy,valid,tinyllama,The capital of Spain is Madrid.,0.898000
36,What is the capital of Mexico?,Mexico City,easy,valid,tinyllama,Mexico's capital city is Mexico City.,0.753385
37,Who invented the telephone?,Alexander Graham Bell,easy,valid,tinyllama,The telephone was invented by Alexander Graham Bell in 1876.,0.817652
38,Who invented the light bulb?,Thomas Edison,easy,valid,tinyllama,Thomas Edison invented the light bulb.,0.760220
39,What is the hardest natural substance?,diamond,easy,valid,tinyllama,The hardest natural substance is diamond.,0.757774
40,What is the softest mineral?,talc,easy,valid,tinyllama,The softest mineral is silica (SiO2).,0.816244
41,What is the main language spoken in Brazil?,Portuguese,easy,valid,tinyllama,The main language spoken in Brazil is Portuguese.,0.865934
42,What is the main language spoken in Japan?,Japanese,easy,valid,tinyllama,Japanese is the official language of Japan.,0.828189
43,What is the capital of South Korea?,Seoul,easy,valid,tinyllama,The capital of South Korea is Seoul.,0.897463
44,What is the capital of India?,New Delhi,easy,valid,tinyllama,The capital of India is New Delhi.,0.915816
45,What is the capital of China?,Beijing,easy,valid,tinyllama,The capital of China is Beijing.,0.932872
46,What is the capital of Russia?,Moscow,easy,valid,tinyllama,The capital of Russia is Moscow.,0.921312
47,What is the capital of Egypt?,Cairo,easy,valid,tinyllama,The capital of Egypt is Cairo.,0.907179
48,What is the capital of Turkey?,Ankara,easy,valid,tinyllama,The capital of Turkey is Ankara.,0.923263
49,What is the capital of Thailand?,Bangkok,easy,valid,tinyllama,Bangkok is the capital of Thailand.,0.878857
