question_id,question,ground_truth_answer,category,question_validity,model_name,model_answer,confidence
1,What is the capital of Canada?,Ottawa,easy,valid,llama3,Ottawa.,0.698217
2,What is the capital of France?,Paris,easy,valid,llama3,Paris.,0.662343
3,What is the capital of Australia?,Canberra,easy,valid,llama3,Canberra.,0.781970
4,What is the capital of Brazil?,Brasília,easy,valid,llama3,Brasília.,0.739380
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,llama3,Harper Lee.,0.728586
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,llama3,F. Scott Fitzgerald.,0.790019
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,llama3,Leonardo da Vinci. He painted the famous portrait in the early 16th century. The painting is widely considered to be one of the greatest works of the Renaissance and is known for its enigmatic smile and incredible level of detail. It is,0.751546
8,Who discovered penicillin?,Alexander Fleming,easy,valid,llama3,"Alexander Fleming discovered penicillin in 1928. Fleming was a Scottish biologist, pharmacologist, and botanist. He observed that a mold had contaminated one of his bacterial cultures, and that the mold had killed off the surrounding bacteria",0.822952
9,What is the chemical symbol for gold?,Au,easy,valid,llama3,Au,0.754761
10,What is the chemical symbol for oxygen?,O,easy,valid,llama3,O,0.669619
11,What is the largest planet in the solar system?,Jupiter,easy,valid,llama3,"Jupiter. Jupiter is the largest planet in the solar system. It is a gas giant and is known for its massive size, stormy atmosphere, and numerous moons. Jupiter is the fifth planet from the Sun and is the largest of all the",0.790454
12,What is the smallest planet in the solar system?,Mercury,easy,valid,llama3,"Mercury. Mercury is the smallest planet in the solar system, with a diameter of approximately 4,879 kilometers (3,031 miles). It is also the closest planet to the sun and has a highly eccentric orbit. Mercury is a rocky",0.846120
13,What is the boiling point of water in Celsius?,100,easy,valid,llama3,"100°C. The boiling point of water is 100 degrees Celsius. This is the temperature at which water turns into vapor or steam. It is a fundamental constant in physics and chemistry, and it is used as a reference point for many",0.678518
14,What is the freezing point of water in Celsius?,0,easy,valid,llama3,0°C,0.787292
15,What is the square root of 81?,9,easy,valid,llama3,9,0.904027
16,What is the square root of 225?,15,easy,valid,llama3,15,0.898621
17,What year did World War I begin?,1914,easy,valid,llama3,1914,0.833832
18,What year did World War II end?,1945,easy,valid,llama3,1945,0.843679
19,What is the currency of Japan?,yen,easy,valid,llama3,"The currency of Japan is the Yen (JPY). It is subdivided into 100 sen, although sen are no longer printed or circulated. The Yen is issued by the Bank of Japan and is the official currency of Japan. It is",0.738833
20,What is the currency of the United Kingdom?,pound sterling,easy,valid,llama3,The currency of the United Kingdom is the Pound Sterling (GBP). It is commonly abbreviated as £. The Pound is divided into 100 pence. The Bank of England is the central bank responsible for issuing and regulating the Pound. The Pound,0.759018
21,Who was the first president of the United States?,George Washington,easy,valid,llama3,"George Washington. He was inaugurated as the first president of the United States on April 30, 1789. He served two terms in office until March 4, 1797. Washington is widely regarded as one of the founding",0.815730
22,Who was the 16th president of the United States?,Abraham Lincoln,easy,valid,llama3,Abraham Lincoln. He was the 16th president of the United States. He served from 1861 until his assassination in 1865. He is best known for leading the country through the Civil War and for his commitment to preserving the,0.767459
