question_id,question,ground_truth_answer,category,question_validity,model_name,model_answer,confidence,is_correct,refusal,hallucination,question_length,answer_length
1,What is the capital of Canada?,Ottawa,easy,valid,phi3,Ottawa.,0.7856,1,0,0,6,1
2,What is the capital of France?,Paris,easy,valid,phi3,Paris.,0.783529,1,0,0,6,1
3,What is the capital of Australia?,Canberra,easy,valid,phi3,Canberra.,0.781364,1,0,0,6,1
4,What is the capital of Brazil?,Brasília,easy,valid,phi3,The capital of Brazil is Brasília.,0.808536,1,0,0,6,6
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,phi3,"Harper Lee wrote ""To Kill a Mockingbird.""",0.752752,1,0,0,6,7
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,phi3,F. Scott Fitzgerald.,0.752216,1,0,0,5,3
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,phi3,Leonardo da Vinci.,0.816055,1,1,0,5,3
8,Who discovered penicillin?,Alexander Fleming,easy,valid,phi3,Alexander Fleming discovered penicillin in 1928.,0.80331,1,0,0,3,6
9,What is the chemical symbol for gold?,Au,easy,valid,phi3,The chemical symbol for gold is Au.,0.812724,1,0,0,7,7
10,What is the chemical symbol for oxygen?,O,easy,valid,phi3,The chemical symbol for oxygen is O.,0.863578,1,0,0,7,7
11,What is the largest planet in the solar system?,Jupiter,easy,valid,phi3,Jupiter is the largest planet in the solar system.,0.857463,1,0,0,9,9
12,What is the smallest planet in the solar system?,Mercury,easy,valid,phi3,Mercury is the smallest planet in the solar system.,0.843507,1,0,0,9,9
13,What is the boiling point of water in Celsius?,100,easy,valid,phi3,The boiling point of water in Celsius is 100 degrees.,0.855726,1,0,0,9,10
14,What is the freezing point of water in Celsius?,0,easy,valid,phi3,The freezing point of water in Celsius is 0 degrees.,0.847137,1,0,0,9,10
15,What is the square root of 81?,9,easy,valid,phi3,The square root of 81 is 9.,0.886008,1,0,0,7,7
16,What is the square root of 225?,15,easy,valid,phi3,The square root of 225 is 15.,0.874865,1,0,0,7,7
17,What year did World War I begin?,1914,easy,valid,phi3,World War I began in 1914.,0.842048,1,0,0,7,6
18,What year did World War II end?,1945,easy,valid,phi3,World War II ended in 1945.,0.853645,1,0,0,7,6
19,What is the currency of Japan?,yen,easy,valid,phi3,The currency of Japan is the Japanese Yen (JPY).,0.818673,1,0,0,6,9
20,What is the currency of the United Kingdom?,pound sterling,easy,valid,phi3,"The currency of the United Kingdom is the Pound Sterling, often simply referred to as the Pound.",0.658856,1,0,0,8,17
21,Who was the first president of the United States?,George Washington,easy,valid,phi3,George Washington.,0.833076,1,0,0,9,2
22,Who was the 16th president of the United States?,Abraham Lincoln,easy,valid,phi3,Abraham Lincoln.,0.842437,1,0,0,9,2
23,What is the tallest mountain in the world?,Mount Everest,easy,valid,phi3,Mount Everest.,0.830945,1,0,0,8,2
24,What is the longest river in the world?,Nile,easy,valid,phi3,The Nile River is the longest river in the world.,0.763233,1,0,0,8,10
25,What gas do humans breathe in?,oxygen,easy,valid,phi3,Oxygen.,0.76853,1,0,0,6,1
26,What gas do plants absorb?,carbon dioxide,easy,valid,phi3,Plants absorb carbon dioxide.,0.814858,1,0,0,5,4
27,What is the speed of light in km/s?,299792,easy,valid,phi3,"The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s).",0.855599,1,1,0,8,14
28,What is the formula for water?,H2O,easy,valid,phi3,"The chemical formula for water is H2O, which means it consists of two hydrogen atoms bonded to one oxygen atom.",0.816576,1,1,0,6,20
29,Who developed the theory of relativity?,Albert Einstein,easy,valid,phi3,Albert Einstein developed the theory of relativity.,0.799605,1,0,0,6,7
30,Who developed the theory of evolution?,Charles Darwin,easy,valid,phi3,Charles Darwin.,0.787006,1,0,0,6,2
31,What is the largest ocean on Earth?,Pacific Ocean,easy,valid,phi3,The Pacific Ocean is the largest ocean on Earth.,0.826486,1,0,0,7,9
32,What is the smallest ocean on Earth?,Arctic Ocean,easy,valid,phi3,The smallest ocean on Earth is the Arctic Ocean.,0.853728,1,0,0,7,9
33,What is the capital of Germany?,Berlin,easy,valid,phi3,Berlin.,0.821021,1,0,0,6,1
34,What is the capital of Italy?,Rome,easy,valid,phi3,Rome.,0.8126,1,0,0,6,1
35,What is the capital of Spain?,Madrid,easy,valid,phi3,Madrid.,0.819328,1,0,0,6,1
36,What is the capital of Mexico?,Mexico City,easy,valid,phi3,Mexico City.,0.838433,1,0,0,6,2
37,Who invented the telephone?,Alexander Graham Bell,easy,valid,phi3,Alexander Graham Bell.,0.823087,1,0,0,4,3
38,Who invented the light bulb?,Thomas Edison,easy,valid,phi3,Thomas Edison is credited with inventing the practical incandescent light bulb.,0.66777,1,0,0,5,11
39,What is the hardest natural substance?,diamond,easy,valid,phi3,Diamond is the hardest natural substance.,0.806647,1,1,0,6,6
40,What is the softest mineral?,talc,easy,valid,phi3,Talc is the softest mineral on the Mohs scale of mineral hardness.,0.837459,1,0,0,5,12
41,What is the main language spoken in Brazil?,Portuguese,easy,valid,phi3,The main language spoken in Brazil is Portuguese.,0.817804,1,0,0,8,8
42,What is the main language spoken in Japan?,Japanese,easy,valid,phi3,The main language spoken in Japan is Japanese.,0.817844,1,0,0,8,8
43,What is the capital of South Korea?,Seoul,easy,valid,phi3,Seoul,0.834193,1,0,0,7,1
44,What is the capital of India?,New Delhi,easy,valid,phi3,New Delhi.,0.838329,1,0,0,6,2
45,What is the capital of China?,Beijing,easy,valid,phi3,Beijing.,0.834951,1,0,0,6,1
46,What is the capital of Russia?,Moscow,easy,valid,phi3,The capital of Russia is Moscow.,0.852857,1,0,0,6,6
47,What is the capital of Egypt?,Cairo,easy,valid,phi3,Cairo.,0.773886,1,0,0,6,1
48,What is the capital of Turkey?,Ankara,easy,valid,phi3,Ankara.,0.788477,1,0,0,6,1
49,What is the capital of Thailand?,Bangkok,easy,valid,phi3,Bangkok.,0.829201,1,0,0,6,1
50,What is the capital of Vietnam?,Hanoi,easy,valid,phi3,The capital of Vietnam is Hanoi.,0.823253,1,1,0,6,6
51,What is the capital of Indonesia?,Jakarta,easy,valid,phi3,Jakarta.,0.841201,1,0,0,6,1
52,What is the capital of Nigeria?,Abuja,easy,valid,phi3,Abuja,0.779945,1,0,0,6,1
53,What is the capital of Kenya?,Nairobi,easy,valid,phi3,Nairobi.,0.781938,1,1,0,6,1
54,What is the capital of Argentina?,Buenos Aires,easy,valid,phi3,The capital of Argentina is Buenos Aires.,0.85978,1,1,0,6,7
55,What is the capital of Chile?,Santiago,easy,valid,phi3,The capital of Chile is Santiago.,0.814535,1,0,0,6,6
56,What is the capital of Peru?,Lima,easy,valid,phi3,The capital of Peru is Lima.,0.816067,1,0,0,6,6
57,What is the capital of Sweden?,Stockholm,easy,valid,phi3,Stockholm.,0.777114,1,0,0,6,1
58,What is the capital of Norway?,Oslo,easy,valid,phi3,Oslo.,0.773064,1,0,0,6,1
59,What is the capital of Denmark?,Copenhagen,easy,valid,phi3,Copenhagen.,0.791383,1,0,0,6,1
60,Who was the successor of Mansa Musa?,Maghan I,hard,valid,phi3,"Mansa Musa was succeeded by Mansa Maghan, his son.",0.819494,0,0,1,7,9
