question_id,question,ground_truth_answer,category,question_validity,model_name,model_answer,confidence,is_correct,refusal,hallucination,question_length,answer_length
1,What is the capital of Canada?,Ottawa,easy,valid,llama3,Ottawa.,0.698217,1,0,0,6,1
1,What is the capital of Canada?,Ottawa,easy,valid,mistral,Ottawa is the capital of Canada.,0.860374,1,1,0,6,6
1,What is the capital of Canada?,Ottawa,easy,valid,phi3,Ottawa.,0.7856,1,0,0,6,1
1,What is the capital of Canada?,Ottawa,easy,valid,tinyllama,The capital of Canada is Ottawa.,0.907248,1,1,0,6,6
2,What is the capital of France?,Paris,easy,valid,llama3,Paris.,0.662343,1,0,0,6,1
2,What is the capital of France?,Paris,easy,valid,mistral,Paris is the capital of France.,0.860743,1,0,0,6,6
2,What is the capital of France?,Paris,easy,valid,phi3,Paris.,0.783529,1,0,0,6,1
2,What is the capital of France?,Paris,easy,valid,tinyllama,The capital of France is Paris.,0.900482,1,0,0,6,6
3,What is the capital of Australia?,Canberra,easy,valid,llama3,Canberra.,0.78197,1,0,0,6,1
3,What is the capital of Australia?,Canberra,easy,valid,mistral,Canberra is the capital of Australia. It is located in the Australian Capital Territory. It became the capital in 1927.,0.815233,1,0,0,6,20
3,What is the capital of Australia?,Canberra,easy,valid,phi3,Canberra.,0.781364,1,0,0,6,1
3,What is the capital of Australia?,Canberra,easy,valid,tinyllama,The capital of Australia is Canberra.,0.917112,1,0,0,6,6
4,What is the capital of Brazil?,Brasília,easy,valid,llama3,Brasília.,0.73938,1,0,0,6,1
4,What is the capital of Brazil?,Brasília,easy,valid,mistral,The capital of Brazil is Brasilia.,0.877777,0,0,1,6,6
4,What is the capital of Brazil?,Brasília,easy,valid,phi3,The capital of Brazil is Brasília.,0.808536,1,0,0,6,6
4,What is the capital of Brazil?,Brasília,easy,valid,tinyllama,The capital of Brazil is Brasília.,0.852804,1,0,0,6,6
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,llama3,Harper Lee.,0.728586,1,0,0,6,2
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,mistral,"Harper Lee wrote ""To Kill a Mockingbird"".",0.905472,1,0,0,6,7
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,phi3,"Harper Lee wrote ""To Kill a Mockingbird.""",0.752752,1,0,0,6,7
5,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,easy,valid,tinyllama,"""To Kill a Mockingbird"" was written by Harper Lee.",0.880478,1,0,0,6,9
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,llama3,F. Scott Fitzgerald.,0.790019,1,0,0,5,3
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,mistral,"F. Scott Fitzgerald wrote ""The Great Gatsby"".",0.896006,1,0,0,5,7
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,phi3,F. Scott Fitzgerald.,0.752216,1,0,0,5,3
6,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,easy,valid,tinyllama,"F. Scott Fitzgerald wrote ""The Great Gatsby"".",0.856013,1,0,0,5,7
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,llama3,Leonardo da Vinci. He painted the famous portrait in the early 16th century. The painting is widely considered to be one of the greatest works of the Renaissance and is known for its enigmatic smile and incredible level of detail. It is,0.751546,1,1,0,5,42
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,mistral,The Mona Lisa was painted by Leonardo da Vinci.,0.893646,1,1,0,5,9
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,phi3,Leonardo da Vinci.,0.816055,1,1,0,5,3
7,Who painted the Mona Lisa?,Leonardo da Vinci,easy,valid,tinyllama,"The Mona Lisa is a painting by the Italian artist Leonardo da Vinci. It was painted in the late 15th century and is now housed in the Louvre Museum in Paris, France.",0.750507,1,1,0,5,32
8,Who discovered penicillin?,Alexander Fleming,easy,valid,llama3,"Alexander Fleming discovered penicillin in 1928. Fleming was a Scottish biologist, pharmacologist, and botanist. He observed that a mold had contaminated one of his bacterial cultures, and that the mold had killed off the surrounding bacteria",0.822952,1,1,0,3,36
8,Who discovered penicillin?,Alexander Fleming,easy,valid,mistral,Penicillin was discovered by Alexander Fleming in 1928.,0.897133,1,0,0,3,8
8,Who discovered penicillin?,Alexander Fleming,easy,valid,phi3,Alexander Fleming discovered penicillin in 1928.,0.80331,1,0,0,3,6
8,Who discovered penicillin?,Alexander Fleming,easy,valid,tinyllama,Alexander Fleming discovered penicillin in 1928 while studying a mold that he found growing on a petri dish. He was surprised to find that the mold was producing a substance that was killing,0.643028,1,1,0,3,33
9,What is the chemical symbol for gold?,Au,easy,valid,llama3,Au,0.754761,1,0,0,7,1
9,What is the chemical symbol for gold?,Au,easy,valid,mistral,The chemical symbol for gold is Au.,0.847602,1,0,0,7,7
9,What is the chemical symbol for gold?,Au,easy,valid,phi3,The chemical symbol for gold is Au.,0.812724,1,0,0,7,7
9,What is the chemical symbol for gold?,Au,easy,valid,tinyllama,The chemical symbol for gold is Au.,0.888144,1,0,0,7,7
